consentKey.keys,consentKey.rt,languageL1Key.keys,languageL1Key.rt,languageL2,languageL2OralKey.keys,languageL2OralKey.rt,languageL2WrittenKey.keys,languageL2WrittenKey.rt,languageL3,languageL3OralKey.keys,languageL3OralKey.rt,languageL3WrittenKey.keys,languageL3WrittenKey.rt,languageCatalanOralKey.keys,languageCatalanOralKey.rt,languageCatalanWrittenKey.keys,languageCatalanWrittenKey.rt,languageCatalanTimeKey.keys,languageCatalanTimeKey.rt,languageSpanishOralKey.keys,languageSpanishOralKey.rt,languageSpanishWrittenKey.keys,languageSpanishWrittenKey.rt,languageSpanishTimeKey.keys,languageSpanishTimeKey.rt,age,demoSexKey.keys,demoSexKey.rt,demoEducationKey.keys,demoEducationKey.rt,city,demoVisionKey.keys,demoVisionKey.rt,demoLanguageKey.keys,demoLanguageKey.rt,setupLocationKey.keys,setupLocationKey.rt,setupNoiseKey.keys,setupNoiseKey.rt,instructionsKeys.keys,instructionsKeys.rt,keyPressed,keyPressTime,inputText,error,trialsPracticeCatalan.thisRepN,trialsPracticeCatalan.thisTrialN,trialsPracticeCatalan.thisN,trialsPracticeCatalan.thisIndex,trialsPracticeCatalan.ran,trialsPracticeCatalan.order,trial_id,word,test_language,soundfile,participant,session,date,expName,psychopyVersion,OS,frameRate,trialOffset,trialsCatalan.thisRepN,trialsCatalan.thisTrialN,trialsCatalan.thisN,trialsCatalan.thisIndex,trialsCatalan.ran,trialsCatalan.order
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,6.536000013,VOLCANO,FALSE,,,,,,,116,bolquer,Catalan,Sounds/cat_bolquer.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,6.536000013,1,0,81,11,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,bolquer,Catalan,Sounds/cat_bolquer.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,11,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,5.782999992,C,FALSE,,,,,,,187,vaixell,Catalan,Sounds/cat_vaixell.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,78,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,5.915999889,CO,FALSE,,,,,,,187,vaixell,Catalan,Sounds/cat_vaixell.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,78,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,6.099999905,COM,FALSE,,,,,,,187,vaixell,Catalan,Sounds/cat_vaixell.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,78,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,6.25,COMB,FALSE,,,,,,,187,vaixell,Catalan,Sounds/cat_vaixell.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,78,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,6.549999952,COMB,FALSE,,,,,,,187,vaixell,Catalan,Sounds/cat_vaixell.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,6.549999952,1,0,81,78,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,vaixell,Catalan,Sounds/cat_vaixell.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,78,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,2.167000055,Z,FALSE,,,,,,,189,zebra,Catalan,Sounds/cat_zebra.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,80,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,2.367000103,ZE,FALSE,,,,,,,189,zebra,Catalan,Sounds/cat_zebra.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,80,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,2.532999992,ZEB,FALSE,,,,,,,189,zebra,Catalan,Sounds/cat_zebra.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,80,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2.733999968,ZEBR,FALSE,,,,,,,189,zebra,Catalan,Sounds/cat_zebra.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,80,1,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,2.96600008,ZEBRA,FALSE,,,,,,,189,zebra,Catalan,Sounds/cat_zebra.mp3,11311,001,2020-06-08_18h39.26.172,TranslationElicitation_eng-sona,3.2.4,MacIntel,60,,1,0,81,80,1,80
