participant,consent_key.keys,consent_key.rt,language_native_key.keys,language_native_key.rt,language_home_key.keys,language_home_key.rt,language_prof_oral_english_key.keys,language_prof_oral_english_key.rt,language_prof_oral_spanish_key.keys,language_prof_oral_spanish_key.rt,language_prof_oral_catalan_key.keys,language_prof_oral_catalan_key.rt,language_prof_written_english_key.keys,language_prof_written_english_key.rt,language_prof_written_spanish_key.keys,language_prof_written_spanish_key.rt,language_prof_written_catalan_key.keys,language_prof_written_catalan_key.rt,age,date,expName,psychopyVersion,OS,frameRate,demo_age_key.keys,demo_age_key.rt,demo_sex_key.keys,demo_sex_key.rt,demo_education_key.keys,demo_education_key.rt,demo_vision_key.keys,demo_vision_key.rt,demo_impairment_key.keys,demo_impairment_key.rt,setup_where_key.keys,setup_where_key.rt,setup_noise_key.keys,setup_noise_key.rt,letterTyped,typingOnset,inputText,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,practice_trials.order,trial_id,word,test_language,soundfile,correction,trials_catalan.thisRepN,trials_catalan.thisTrialN,trials_catalan.thisN,trials_catalan.thisIndex,trials_catalan.ran,trials_catalan.order
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,2.121999979,,,,,,,,127,cotxe,Catalan,Sounds/cat_cotxe.wav,,1,0,80,22,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,127,cotxe,Catalan,Sounds/cat_cotxe.wav,,1,0,80,22,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,B,1.738000154,B,,,,,,,130,entrepa,Catalan,Sounds/cat_entrepa.wav,,1,0,80,25,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,O,1.973999977,BO,,,,,,,130,entrepa,Catalan,Sounds/cat_entrepa.wav,,1,0,80,25,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,D,2.171000004,BOD,,,,,,,130,entrepa,Catalan,Sounds/cat_entrepa.wav,,1,0,80,25,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,,2.171000004,BO,,,,,,,130,entrepa,Catalan,Sounds/cat_entrepa.wav,yes,1,0,80,25,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,C,2.539000034,BOC,,,,,,,130,entrepa,Catalan,Sounds/cat_entrepa.wav,,1,0,80,25,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,A,2.673000097,BOCA,,,,,,,130,entrepa,Catalan,Sounds/cat_entrepa.wav,,1,0,80,25,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,D,3.124000072,BOCAD,,,,,,,130,entrepa,Catalan,Sounds/cat_entrepa.wav,,1,0,80,25,1,79
67126,,,,,,,,,,,,,,,,,,,,2020-04-26_10h29.34.803,TranslationElicitationSpa,3.2.4,MacIntel,60,,,,,,,,,,,,,,,I,3.243000031,BOCADI,,,,,,,130,entrepa,Catalan,Sounds/cat_entrepa.wav,,1,0,80,25,1,79
