frame	time(s)	intensity	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)
176	0.176	0.03346	2352.190	708.404	3804.829	324.275	4778.992	504.847
177	0.177	0.02630	2039.922	1295.490	3583.256	624.696	4469.167	647.869
178	0.178	0.02142	2092.086	487.432	3013.152	448.145	5052.517	1452.649
179	0.179	0.06065	3148.724	4649.070	3164.609	893.325	4161.007	826.333
180	0.180	0.06065	2275.234	713.424	3231.691	1310.005	4511.865	437.247
181	0.181	0.02446	1822.360	920.496	2707.486	768.868	4348.310	266.080
182	0.182	0.01879	2061.460	1838.289	3259.405	642.318	4150.229	508.876
183	0.183	0.05389	2679.188	915.608	3641.842	492.676	--undefined--	--undefined--
184	0.184	0.05389	2205.579	617.203	3241.849	512.007	4121.919	441.679
185	0.185	0.02843	2239.759	613.292	3326.274	589.268	4352.353	639.196
186	0.186	0.02274	2213.626	556.661	3407.721	698.143	4341.361	890.299
187	0.187	0.02607	2050.407	1641.509	3475.277	701.977	4362.737	1760.849
188	0.188	0.02607	1909.357	545.414	3659.735	751.370	--undefined--	--undefined--
189	0.189	0.03806	2645.188	683.486	3493.622	789.897	--undefined--	--undefined--
190	0.190	0.04479	2359.326	594.414	3286.844	489.523	4102.468	382.756
191	0.191	0.04479	2324.412	609.387	3251.436	512.486	4105.171	524.809
192	0.192	0.04338	2204.079	692.363	3238.278	760.968	4685.925	856.061
193	0.193	0.05217	2163.942	437.091	3385.707	1110.177	4633.709	753.791
194	0.194	0.06374	2219.015	997.655	3106.070	1859.127	4137.685	392.403
195	0.195	0.06374	2351.514	542.093	3336.359	696.647	4858.910	1203.202
196	0.196	0.06242	2075.128	723.148	2809.105	1736.151	4605.059	1223.213
197	0.197	0.06242	1750.956	648.296	3764.249	413.029	4779.479	720.005
198	0.198	0.04530	2476.651	518.615	3790.538	552.882	4753.117	621.269
199	0.199	0.04530	2545.675	825.972	2750.785	3462.338	4284.541	604.024
200	0.200	0.06879	2228.909	828.742	3283.680	619.876	4156.685	499.474
201	0.201	0.06879	2231.973	1191.450	3503.657	428.534	4352.169	399.032
202	0.202	0.02586	2196.771	1275.309	3671.178	599.215	4860.163	656.737
203	0.203	0.03646	2358.258	452.707	3502.265	481.680	4455.005	503.258
204	0.204	0.03694	2160.712	542.860	3373.139	639.070	4507.611	844.835
205	0.205	0.03694	2985.829	868.835	3959.415	1034.176	--undefined--	--undefined--
206	0.206	0.02881	1922.778	438.268	3960.391	867.712	4836.979	978.063
207	0.207	0.02881	1365.399	682.482	3645.687	859.549	4345.138	849.112
208	0.208	0.00779	2678.912	824.571	4191.449	843.774	--undefined--	--undefined--
209	0.209	0.01716	2402.896	644.614	3594.788	738.275	4888.335	914.757
210	0.210	0.01716	2467.320	716.136	3671.743	681.518	4621.877	842.370
211	0.211	0.00884	1587.472	730.194	3613.927	904.492	4448.776	717.887
212	0.212	0.02614	1730.631	1314.914	3635.809	835.364	4915.482	789.564
213	0.213	0.02614	2443.020	641.996	3490.890	580.751	4382.887	536.400
214	0.214	0.01903	1933.160	619.495	3240.789	1108.062	4494.879	451.559
215	0.215	0.02383	2271.920	1040.808	2903.431	667.776	4686.238	482.123
216	0.216	0.04542	2363.586	435.849	3544.645	716.271	4584.152	624.270
217	0.217	0.04542	2503.257	1360.513	2881.800	1104.320	4544.895	460.450
218	0.218	0.01339	1989.513	2675.482	3039.851	685.847	5203.426	2207.195
219	0.219	0.01026	1794.072	911.081	3162.309	688.894	4283.488	1421.633
220	0.220	0.01026	1390.647	1173.928	3354.547	718.520	4349.386	721.246
221	0.221	0.00295	2115.962	711.042	3150.654	1706.398	4757.081	511.403
222	0.222	0.00189	1909.192	1306.142	3007.436	999.147	4479.571	2313.859
223	0.223	0.00684	2403.187	564.888	3405.707	602.293	--undefined--	--undefined--
224	0.224	0.00684	2934.219	825.632	4069.486	1210.738	--undefined--	--undefined--
225	0.225	0.00229	2153.876	589.486	3178.959	736.769	4574.050	962.881
226	0.226	0.00208	1987.995	4003.251	2953.637	704.463	5207.722	1660.548
227	0.227	0.00208	2037.957	1029.288	3430.239	1072.869	4341.978	938.302
228	0.228	0.00149	1367.977	1896.001	3253.958	953.770	4332.698	1132.702
229	0.229	0.00149	1375.834	970.173	2415.234	680.827	4196.612	337.719
230	0.230	0.00082	2034.881	2055.137	3255.857	1186.168	4373.729	1527.244
231	0.231	0.00294	1796.154	955.417	2821.308	641.884	3842.471	504.665
232	0.232	0.00294	2681.085	656.426	3710.244	759.460	--undefined--	--undefined--
233	0.233	0.00106	2966.885	901.161	4218.406	742.196	--undefined--	--undefined--
234	0.234	0.00106	2428.855	1466.013	4043.722	677.891	--undefined--	--undefined--
235	0.235	0.00099	1334.773	1615.593	3383.199	875.306	4278.231	1259.453
236	0.236	0.00257	2161.767	1714.774	3204.209	1297.149	3851.893	1806.534
237	0.237	0.00257	1949.606	1055.849	3006.521	803.943	4701.877	1555.163
238	0.238	0.00227	2033.755	926.209	3253.168	934.457	4480.237	1402.863
239	0.239	0.00079	1991.982	1456.731	2900.347	1196.571	4204.231	1199.326
240	0.240	0.00126	322.516	2003.851	2645.237	438.309	4532.989	1044.329
241	0.241	0.00126	1201.858	6875.409	1232.967	766.450	4196.278	586.453
242	0.242	0.00083	1044.490	873.109	3147.510	408.455	4085.487	445.867
243	0.243	0.00051	616.168	456.215	3123.029	660.674	3964.355	496.211
244	0.244	0.00378	657.357	389.802	3513.664	532.803	4511.571	1299.435
245	0.245	0.00378	799.237	731.582	3723.265	604.549	3801.518	7471.561
246	0.246	0.00162	1262.091	1868.965	2786.430	780.328	3832.338	499.284
247	0.247	0.01507	1234.823	1097.310	3299.774	1935.906	4586.436	2185.300
248	0.248	0.01507	677.564	588.227	3247.223	959.404	4145.005	1690.379
249	0.249	0.00507	1027.947	1181.930	3276.995	948.561	--undefined--	--undefined--
250	0.250	0.00507	562.410	513.732	2534.275	2072.215	5183.170	1512.644
251	0.251	0.00323	999.207	913.396	3716.742	510.280	--undefined--	--undefined--
252	0.252	0.00440	672.368	622.112	3672.828	1283.208	--undefined--	--undefined--
253	0.253	0.00598	948.677	770.129	2176.573	2379.440	3640.419	624.283
254	0.254	0.00598	1148.911	783.766	2706.525	2061.790	3768.884	903.140
255	0.255	0.00759	1115.204	1223.012	3056.721	1476.093	4910.863	1786.231
256	0.256	0.00759	802.663	833.689	3327.921	597.128	--undefined--	--undefined--
257	0.257	0.00723	1223.789	1018.895	3659.562	702.817	--undefined--	--undefined--
258	0.258	0.00690	536.078	573.903	2706.588	1680.415	--undefined--	--undefined--
259	0.259	0.00690	1037.683	1511.087	1790.216	1437.443	4655.647	1147.211
260	0.260	0.00877	618.704	1364.513	2704.047	707.987	--undefined--	--undefined--
261	0.261	0.00877	1152.015	781.387	2635.305	1416.525	4911.771	1704.207
262	0.262	0.01608	1016.692	686.960	3120.689	760.121	--undefined--	--undefined--
263	0.263	0.01608	777.339	1491.548	3014.212	2624.785	4837.119	1653.699
264	0.264	0.00813	1044.101	954.203	3247.137	675.558	--undefined--	--undefined--
265	0.265	0.03074	512.457	1012.479	2135.795	1097.397	4103.640	534.038
266	0.266	0.03074	1748.885	1203.551	3868.142	1866.352	--undefined--	--undefined--
267	0.267	0.01035	1180.713	793.624	2222.520	722.251	3587.673	1814.057
268	0.268	0.01117	1193.437	901.885	2662.402	2908.453	4465.382	1335.113
269	0.269	0.01117	664.048	784.864	2407.698	1139.907	3545.570	672.998
270	0.270	0.04538	457.727	890.761	2849.130	995.270	4992.195	1011.249
271	0.271	0.04538	2698.935	551.653	5146.552	1278.465	--undefined--	--undefined--
272	0.272	0.01767	1176.733	769.001	2425.136	714.066	3761.683	829.963
273	0.273	0.03619	1232.162	732.758	2670.469	1685.458	4214.521	962.835
274	0.274	0.03619	1125.289	1541.052	3407.612	726.097	--undefined--	--undefined--
275	0.275	0.04679	633.743	2032.387	2914.546	1827.213	--undefined--	--undefined--
276	0.276	0.04679	2685.940	913.036	2971.019	3606.468	--undefined--	--undefined--
277	0.277	0.02203	900.989	851.527	2635.493	503.415	3772.801	451.297
278	0.278	0.04284	1331.585	633.645	3513.596	905.909	--undefined--	--undefined--
279	0.279	0.04284	1244.010	793.120	3459.190	402.033	--undefined--	--undefined--
280	0.280	0.18940	1727.100	1311.096	3026.636	1522.410	--undefined--	--undefined--
281	0.281	0.18940	2655.313	1054.881	5074.472	3090.504	--undefined--	--undefined--
282	0.282	0.06608	1255.851	774.999	3632.588	429.049	--undefined--	--undefined--
283	0.283	0.05043	1570.668	1246.277	2002.681	1204.890	4494.379	1090.980
284	0.284	0.05043	1181.848	794.077	3362.920	394.893	--undefined--	--undefined--
285	0.285	0.16841	1583.384	1263.548	2765.328	1198.290	--undefined--	--undefined--
286	0.286	0.16841	2588.924	1333.077	2981.664	3185.557	--undefined--	--undefined--
287	0.287	0.06351	1015.786	711.575	2839.214	1978.865	3780.542	524.703
288	0.288	0.11963	1422.962	1138.170	2313.115	754.759	4628.626	1797.853
