frame	time(s)	intensity	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)
231	0.231	0.02665	980.560	1293.656	2342.597	1532.584	3827.288	1406.716
232	0.232	0.02665	1258.234	561.213	4096.083	783.626	--undefined--	--undefined--
233	0.233	0.02342	1026.866	1104.649	2225.178	1227.357	3724.565	1166.774
234	0.234	0.02554	1236.807	645.383	1482.410	2358.331	4025.338	468.968
235	0.235	0.02554	1036.039	929.532	2218.927	1028.690	3702.151	897.869
236	0.236	0.02152	997.986	565.843	1812.514	676.926	4026.003	416.880
237	0.237	0.02152	1067.083	731.583	2153.445	826.471	3693.386	810.435
238	0.238	0.02065	1000.575	551.976	1954.038	655.733	3879.044	867.544
239	0.239	0.02065	1103.581	639.436	2073.574	814.298	3894.115	625.659
240	0.240	0.01430	1044.539	822.894	2067.374	1061.552	3834.578	1226.993
241	0.241	0.01399	1036.344	508.040	1959.478	530.499	3906.649	475.349
242	0.242	0.01277	1052.540	1179.362	1901.475	1577.273	2832.564	1545.230
243	0.243	0.01316	956.777	677.366	1856.259	594.594	3979.348	437.982
244	0.244	0.01316	1116.218	1147.834	2226.698	1054.632	--undefined--	--undefined--
245	0.245	0.01199	982.311	1243.284	1751.123	1240.314	3976.243	972.922
246	0.246	0.01199	1273.424	805.088	2468.705	771.205	--undefined--	--undefined--
247	0.247	0.00945	873.025	1041.235	1823.769	1118.972	3818.049	714.273
248	0.248	0.00718	1144.556	850.036	2635.224	1409.353	--undefined--	--undefined--
249	0.249	0.00718	1173.547	1155.783	1239.602	2268.541	3881.636	762.132
250	0.250	0.00794	999.485	507.797	2058.664	1200.256	3486.059	651.576
251	0.251	0.00794	986.096	729.676	1822.348	1167.951	3827.767	665.217
252	0.252	0.01191	1174.824	495.689	3430.830	852.326	--undefined--	--undefined--
253	0.253	0.01191	1204.021	554.968	1409.695	3049.715	3925.190	684.303
254	0.254	0.01053	825.222	1160.312	1541.165	1259.106	3543.213	571.035
255	0.255	0.01053	1127.310	1699.594	1297.557	833.406	4111.742	1013.585
256	0.256	0.01080	812.908	1075.178	1861.188	1380.382	3676.124	756.799
257	0.257	0.01115	853.995	664.369	1643.787	528.492	4053.841	693.028
258	0.258	0.01115	906.304	913.542	2015.028	1416.727	3630.518	629.394
259	0.259	0.01382	1040.797	587.041	1810.762	787.812	4196.234	640.870
260	0.260	0.01382	1063.283	584.218	2482.452	2309.441	3628.085	750.669
261	0.261	0.01534	891.510	741.848	1766.872	715.010	4315.146	1059.255
262	0.262	0.01534	959.077	557.737	2441.925	3972.987	3736.053	452.158
263	0.263	0.01810	832.623	1112.477	1626.615	905.504	4273.706	954.829
264	0.264	0.01810	1140.276	721.613	3842.156	784.972	--undefined--	--undefined--
265	0.265	0.01549	971.909	1038.874	1474.197	871.543	4127.612	739.364
266	0.266	0.01549	1290.717	661.251	4161.041	868.759	--undefined--	--undefined--
267	0.267	0.01763	1261.243	637.791	2065.692	5633.152	3926.523	2945.353
268	0.268	0.01763	980.509	572.285	1901.493	730.633	3969.858	591.944
269	0.269	0.01346	1008.843	1152.618	2052.396	1534.075	3766.455	1105.994
270	0.270	0.01900	1002.909	519.236	1902.137	577.569	4192.850	1329.284
271	0.271	0.01900	1284.337	1606.251	3033.763	2033.173	--undefined--	--undefined--
272	0.272	0.01748	956.034	507.105	1818.247	461.716	--undefined--	--undefined--
273	0.273	0.01748	1048.351	1042.193	2386.824	1517.265	3557.550	1487.054
274	0.274	0.01567	804.435	3958.890	1284.436	467.089	4497.570	1087.444
275	0.275	0.01567	854.098	447.768	2337.115	490.305	4114.985	499.936
276	0.276	0.02145	1224.159	401.032	4025.197	848.285	--undefined--	--undefined--
277	0.277	0.02145	584.382	1081.525	2512.302	648.464	4949.678	1173.172
278	0.278	0.01045	1047.657	699.016	2453.303	1333.515	--undefined--	--undefined--
279	0.279	0.01045	702.289	1398.841	2205.996	905.439	4368.545	1448.568
280	0.280	0.01527	1353.608	854.294	2868.535	959.466	--undefined--	--undefined--
281	0.281	0.01527	1696.497	981.585	4871.948	1060.817	--undefined--	--undefined--
282	0.282	0.01227	1074.746	1303.450	2350.033	1194.260	--undefined--	--undefined--
283	0.283	0.01227	1325.621	1102.110	2259.151	1522.161	4045.885	1161.906
284	0.284	0.00784	1153.007	1911.951	2210.595	2612.579	2656.023	1644.844
285	0.285	0.01098	1541.236	600.810	2615.072	942.862	4864.210	1532.870
286	0.286	0.01098	1239.556	1197.366	2504.522	919.685	--undefined--	--undefined--
287	0.287	0.00999	1109.204	752.668	2348.019	520.891	--undefined--	--undefined--
288	0.288	0.00999	1229.369	1723.237	2546.926	1055.627	--undefined--	--undefined--
289	0.289	0.00651	810.322	450.047	2561.915	678.141	5115.179	755.514
290	0.290	0.00651	1895.488	544.455	3691.402	584.591	--undefined--	--undefined--
291	0.291	0.00748	1114.053	681.923	2767.131	645.702	4353.992	4477.352
292	0.292	0.00748	661.711	2641.410	1981.867	1487.152	--undefined--	--undefined--
293	0.293	0.00456	1104.315	1024.409	2525.724	1059.634	--undefined--	--undefined--
294	0.294	0.00447	868.374	1646.948	2267.650	1240.137	--undefined--	--undefined--
295	0.295	0.00298	1482.167	922.395	2766.388	702.846	--undefined--	--undefined--
296	0.296	0.00298	756.409	1145.322	2214.055	795.238	--undefined--	--undefined--
297	0.297	0.00101	850.975	1443.754	2298.662	1011.800	--undefined--	--undefined--
298	0.298	0.00101	1569.353	718.009	2687.242	595.372	--undefined--	--undefined--
299	0.299	0.00024	1453.782	1216.382	2262.690	1274.401	3092.140	989.215
300	0.300	0.00006	926.921	1132.202	2069.241	3528.919	3502.444	1099.938
301	0.301	0.00005	487.656	987.526	2079.487	469.363	3850.433	705.036
302	0.302	0.00008	785.133	1011.214	2223.509	1515.234	3582.393	904.136
303	0.303	0.00008	1353.838	1588.659	2697.299	1488.976	--undefined--	--undefined--
304	0.304	0.00005	1207.604	1328.011	2211.732	858.986	5249.446	1377.980
