frame	time(s)	intensity	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)
186	0.186	0.00019	923.602	935.008	1881.606	1303.243	--undefined--	--undefined--
187	0.187	0.00020	684.252	690.100	3075.147	2388.092	--undefined--	--undefined--
188	0.188	0.00020	987.452	602.622	1903.096	688.054	--undefined--	--undefined--
189	0.189	0.00015	887.394	762.778	1884.099	735.905	--undefined--	--undefined--
190	0.190	0.00017	378.140	327.832	1796.125	1198.720	3521.780	2626.991
191	0.191	0.00017	490.316	597.524	1393.304	588.875	2593.110	1095.703
192	0.192	0.00017	756.177	444.389	1472.300	889.254	3196.537	1070.073
193	0.193	0.00016	827.831	862.297	1642.405	750.939	--undefined--	--undefined--
194	0.194	0.00014	817.535	1016.863	1922.581	1412.464	--undefined--	--undefined--
195	0.195	0.00014	404.372	518.948	1562.912	1182.746	--undefined--	--undefined--
196	0.196	0.00011	976.491	571.832	1895.554	684.481	--undefined--	--undefined--
197	0.197	0.00009	1023.970	615.054	--undefined--	--undefined--	--undefined--	--undefined--
198	0.198	0.00009	682.270	1283.947	1563.599	1036.988	--undefined--	--undefined--
199	0.199	0.00004	785.516	1214.158	2031.669	1209.212	--undefined--	--undefined--
200	0.200	0.00004	911.371	602.488	1784.892	451.846	--undefined--	--undefined--
201	0.201	0.00003	850.610	680.083	1737.121	592.164	--undefined--	--undefined--
202	0.202	0.00001	640.496	1806.226	1868.622	945.576	--undefined--	--undefined--
203	0.203	0.000008	1197.441	775.377	3685.834	942.685	--undefined--	--undefined--
204	0.204	0.000002	222.144	1417.143	1234.997	1111.388	4561.275	1576.139
205	0.205	0.000003	450.315	976.878	1340.819	793.146	--undefined--	--undefined--
206	0.206	0.000003	793.589	553.977	1629.490	1446.043	4531.381	1618.588
207	0.207	0.000003	392.922	289.279	1208.871	269.090	4947.917	802.062
208	0.208	0.000006	396.530	323.054	1214.947	299.784	4627.175	2133.461
209	0.209	0.000006	441.563	1000.161	1157.663	700.446	3834.069	3577.284
210	0.210	0.000009	462.672	455.281	1345.697	435.552	--undefined--	--undefined--
211	0.211	0.00001	781.961	574.507	1677.276	670.600	--undefined--	--undefined--
212	0.212	0.00001	739.860	835.321	1493.254	852.901	--undefined--	--undefined--
213	0.213	0.000007	552.143	555.484	1306.989	515.430	--undefined--	--undefined--
214	0.214	0.000006	390.845	749.333	1217.113	747.718	4351.499	2499.257
215	0.215	0.000005	405.318	530.267	1242.750	530.249	--undefined--	--undefined--
216	0.216	0.000003	704.163	307.132	1484.635	293.916	5051.998	460.827
217	0.217	0.0000007	477.677	1589.995	1791.005	764.047	--undefined--	--undefined--
218	0.218	0.0000007	1240.046	526.090	3207.895	2985.031	--undefined--	--undefined--
219	0.219	0.000001	600.933	826.242	1710.664	527.824	5019.533	393.999
220	0.220	0.000001	752.546	876.227	1533.470	1129.279	--undefined--	--undefined--
221	0.221	0.000002	439.274	318.668	1311.727	282.006	5130.390	1153.301
222	0.222	0.000002	802.536	389.005	5032.278	1644.073	--undefined--	--undefined--
223	0.223	0.000001	391.880	359.742	1227.986	363.364	4632.156	1324.439
224	0.224	0.000001	705.829	1216.193	1526.124	1551.621	--undefined--	--undefined--
225	0.225	0.000001	397.679	532.092	1257.784	619.327	4851.529	1373.386
226	0.226	0.000001	610.778	1238.567	1168.993	695.406	4949.609	399.092
227	0.227	0.0000006	382.641	448.719	1209.112	482.721	5078.234	823.165
228	0.228	0.0000006	541.207	850.030	1340.165	670.052	4907.522	800.644
229	0.229	0.0000005	382.533	405.893	1203.397	420.385	--undefined--	--undefined--
230	0.230	0.0000005	1036.396	599.290	4840.191	841.517	--undefined--	--undefined--
231	0.231	0.0000004	380.119	744.158	1180.833	868.552	5116.558	1058.744
232	0.232	0.0000004	485.621	443.112	1377.179	373.699	--undefined--	--undefined--
233	0.233	0.0000004	845.795	554.193	--undefined--	--undefined--	--undefined--	--undefined--
234	0.234	0.0000004	547.608	721.345	3458.439	1690.606	--undefined--	--undefined--
235	0.235	0.0000002	830.539	727.135	2057.548	2971.751	--undefined--	--undefined--
236	0.236	0.0000002	414.874	689.084	1307.824	785.423	5078.156	792.794
237	0.237	0.0000003	901.768	612.566	3281.626	2388.660	--undefined--	--undefined--
238	0.238	0.0000003	996.147	606.201	4253.614	4254.501	--undefined--	--undefined--
239	0.239	0.0000002	957.687	664.680	4307.406	1846.800	--undefined--	--undefined--
240	0.240	0.0000002	611.293	679.863	2054.087	896.999	5275.828	1208.388
241	0.241	0.00000004	331.092	1077.777	2342.675	2106.936	--undefined--	--undefined--
242	0.242	0.00000002	814.847	677.869	4653.911	643.621	--undefined--	--undefined--
243	0.243	0.00000002	925.567	433.443	3757.774	1170.922	--undefined--	--undefined--
244	0.244	0.00000006	429.970	706.655	1429.807	724.224	--undefined--	--undefined--
245	0.245	0.00000006	807.194	825.520	3429.004	1646.165	--undefined--	--undefined--
246	0.246	0.00000005	1075.631	873.145	1349.417	1279.622	4837.013	623.046
247	0.247	0.00000003	667.737	902.583	4539.690	3119.157	--undefined--	--undefined--
248	0.248	0.00000004	669.415	876.231	3305.408	2051.763	--undefined--	--undefined--
249	0.249	0.00000004	878.978	592.780	3152.756	4639.197	3426.074	949.284
250	0.250	0.00000003	75.588	962.002	2301.229	1309.027	5013.350	357.622
251	0.251	0.00000003	852.438	670.282	4007.486	1446.007	--undefined--	--undefined--
252	0.252	0.00000003	896.700	754.256	4042.517	1494.877	--undefined--	--undefined--
253	0.253	0.00000004	901.185	1217.251	3010.365	1266.565	4967.841	1286.019
254	0.254	0.00000004	1175.561	1056.190	3946.493	548.416	--undefined--	--undefined--
255	0.255	0.00000003	1242.964	470.270	2692.065	1515.502	5116.908	2101.338
256	0.256	0.00000003	1415.827	1270.949	4529.482	1743.474	--undefined--	--undefined--
257	0.257	0.00000004	579.811	1117.653	3254.643	2640.746	--undefined--	--undefined--
258	0.258	0.00000005	1406.571	1942.118	2940.925	665.629	--undefined--	--undefined--
259	0.259	0.00000005	757.796	889.992	4739.740	1209.019	--undefined--	--undefined--
260	0.260	0.00000005	535.737	753.867	4846.973	963.954	--undefined--	--undefined--
261	0.261	0.00000003	873.128	672.294	3920.995	1758.483	--undefined--	--undefined--
262	0.262	0.00000002	635.371	1517.725	3174.556	994.864	4966.274	1031.233
263	0.263	0.0000006	566.945	696.439	3529.793	1084.922	--undefined--	--undefined--
264	0.264	0.00006	1479.486	2468.855	2557.432	2008.704	4221.783	1399.985
265	0.265	0.00006	1067.051	914.299	2891.182	663.047	4698.535	1184.862
266	0.266	0.00004	1198.314	694.145	2480.632	6433.561	3810.704	464.443
267	0.267	0.00002	1192.878	1155.566	2538.793	1371.814	4164.803	662.732
268	0.268	0.000010	1342.542	833.859	3982.903	523.064	--undefined--	--undefined--
269	0.269	0.000004	1686.996	756.615	4227.099	767.612	--undefined--	--undefined--
270	0.270	0.00002	1997.565	1133.547	3575.429	1506.552	--undefined--	--undefined--
271	0.271	0.00002	1455.052	790.243	2883.056	1275.429	4626.552	2294.532
272	0.272	0.00001	1293.551	737.536	2414.930	715.672	--undefined--	--undefined--
273	0.273	0.000004	1370.506	1299.462	3093.366	1015.799	--undefined--	--undefined--
274	0.274	0.0000008	2376.020	1565.898	3470.291	2119.702	--undefined--	--undefined--
275	0.275	0.0000007	2423.148	1570.769	4296.899	2081.492	--undefined--	--undefined--
276	0.276	0.000007	1528.235	2978.885	2508.384	1010.197	4879.411	1119.699
277	0.277	0.000007	1217.782	950.348	1707.693	1630.125	4131.401	1667.049
278	0.278	0.000007	625.831	744.674	1681.670	693.418	4594.597	1178.783
279	0.279	0.000002	207.754	1104.222	2342.642	623.587	4481.978	749.292
280	0.280	0.000002	779.162	600.801	2268.349	961.575	3354.577	472.807
281	0.281	0.000004	456.755	584.483	1411.322	667.647	4162.677	465.660
282	0.282	0.000009	1010.505	800.484	4235.937	2401.087	--undefined--	--undefined--
283	0.283	0.00001	936.877	753.376	3692.907	605.848	--undefined--	--undefined--
284	0.284	0.00006	262.970	1147.987	1856.240	1578.159	4450.995	1009.369
285	0.285	0.00006	497.236	502.218	1420.331	429.923	4212.154	3236.387
286	0.286	0.00004	507.168	1009.249	1684.533	353.524	--undefined--	--undefined--
287	0.287	0.00035	1042.891	786.551	2385.060	2375.806	--undefined--	--undefined--
288	0.288	0.00072	884.987	858.245	1703.100	846.432	--undefined--	--undefined--
289	0.289	0.00072	1036.706	736.785	1887.490	708.638	--undefined--	--undefined--
290	0.290	0.00349	773.607	758.004	1633.403	861.354	3578.955	670.900
291	0.291	0.00349	510.884	591.508	1439.638	519.869	2838.864	1650.899
292	0.292	0.00510	730.999	711.301	1400.016	618.628	3680.319	567.959
293	0.293	0.00510	531.404	1100.687	1368.452	925.657	3559.324	998.551
294	0.294	0.00335	994.907	667.496	1516.536	1350.782	3578.583	1686.290
295	0.295	0.00526	866.984	525.993	1720.444	736.765	3671.462	614.753
296	0.296	0.00526	1052.137	1022.151	1906.589	1664.969	--undefined--	--undefined--
297	0.297	0.00327	800.459	503.431	1525.050	565.923	3585.671	525.290
298	0.298	0.00530	504.895	742.247	1434.482	696.225	3523.716	844.554
299	0.299	0.00530	678.565	931.319	1479.488	907.983	3269.659	1391.169
300	0.300	0.00555	618.633	835.901	1491.611	656.030	4177.782	1376.175
301	0.301	0.00555	932.070	696.302	1601.355	1175.251	4604.578	4467.344
302	0.302	0.00365	851.137	1846.598	1296.064	1174.508	4025.021	8244.179
303	0.303	0.00490	497.967	1082.894	1324.958	696.352	3761.258	707.085
304	0.304	0.00490	513.079	682.401	1408.361	566.400	3680.853	1248.012
305	0.305	0.00507	563.563	530.185	1452.375	410.775	3735.479	939.098
306	0.306	0.00507	711.510	404.909	1507.511	369.688	3490.902	823.727
307	0.307	0.00298	608.181	618.360	1474.710	473.064	3839.934	1769.661
308	0.308	0.00545	757.952	744.205	1570.060	818.022	3613.538	659.553
309	0.309	0.00545	493.974	443.595	1400.123	366.917	3274.243	943.947
310	0.310	0.00496	611.801	676.446	1447.967	540.640	3772.422	1125.707
311	0.311	0.00496	646.784	580.991	1527.376	536.328	3478.370	876.986
312	0.312	0.00324	641.791	442.804	1490.322	349.813	3502.094	583.301
313	0.313	0.00480	827.748	542.226	1686.843	706.253	3615.842	701.374
314	0.314	0.00480	835.806	1708.907	1496.271	1324.587	--undefined--	--undefined--
315	0.315	0.00505	624.982	506.345	1445.771	396.929	3689.380	489.142
316	0.316	0.00505	616.765	582.295	1529.558	534.037	3398.592	918.247
317	0.317	0.00298	686.426	505.432	1528.092	443.413	3257.776	827.108
318	0.318	0.00479	804.865	475.514	1650.126	547.353	3848.863	879.098
319	0.319	0.00479	951.970	746.837	1825.744	744.682	--undefined--	--undefined--
320	0.320	0.00568	615.915	739.039	1434.573	569.080	4199.074	1392.904
321	0.321	0.00568	639.442	568.667	1547.200	532.151	3445.149	821.653
322	0.322	0.00351	985.587	853.116	1758.691	889.620	--undefined--	--undefined--
323	0.323	0.00662	735.850	550.320	1596.484	574.277	3455.753	820.392
324	0.324	0.00662	959.123	927.430	1730.945	976.083	--undefined--	--undefined--
325	0.325	0.00711	547.522	505.631	1422.783	378.268	3776.618	975.025
326	0.326	0.00711	737.662	455.831	1550.623	446.536	3509.231	752.291
327	0.327	0.00454	646.501	776.578	1476.137	566.772	3551.902	2180.870
328	0.328	0.00802	587.443	716.180	1453.996	565.300	3674.622	1032.235
329	0.329	0.00802	596.299	688.502	1486.967	520.220	--undefined--	--undefined--
330	0.330	0.00830	703.711	1788.151	1374.338	1010.856	--undefined--	--undefined--
331	0.331	0.00830	749.289	347.512	1531.969	329.660	3489.269	667.595
332	0.332	0.00581	1011.270	700.210	1767.614	1104.717	--undefined--	--undefined--
333	0.333	0.00893	525.068	854.418	1435.690	707.058	3625.769	1503.986
334	0.334	0.00893	1027.747	585.631	1915.315	1104.166	--undefined--	--undefined--
335	0.335	0.00853	848.793	517.253	1718.997	688.252	3345.111	799.991
336	0.336	0.00853	1075.608	815.343	2096.725	1251.563	--undefined--	--undefined--
337	0.337	0.00825	604.388	529.864	1493.073	449.312	3108.456	755.516
338	0.338	0.00825	708.450	509.718	1565.910	488.336	3185.802	895.839
339	0.339	0.00449	706.930	494.654	1555.439	431.826	3133.099	670.459
340	0.340	0.00866	551.689	560.630	1471.715	432.339	3727.084	911.390
341	0.341	0.00866	786.658	326.712	1576.162	303.058	3381.006	981.270
342	0.342	0.00953	797.463	508.369	1653.550	571.645	3408.280	1004.811
343	0.343	0.00953	1058.405	714.418	2001.066	808.812	--undefined--	--undefined--
344	0.344	0.01132	592.847	713.031	1488.571	552.220	--undefined--	--undefined--
