frame	time(s)	intensity	F1(Hz)	B1(Hz)	F2(Hz)	B2(Hz)	F3(Hz)	B3(Hz)
198	0.198	0.08298	1953.742	544.808	3644.225	377.681	--undefined--	--undefined--
199	0.199	0.08298	1410.759	547.301	2519.793	994.882	3760.136	571.824
200	0.200	0.01787	1284.266	962.718	2337.889	746.423	3537.390	624.285
201	0.201	0.07109	1342.916	871.132	1939.118	1737.686	3663.808	410.497
202	0.202	0.07109	1515.064	571.349	2559.369	731.480	3680.240	566.196
203	0.203	0.01929	1508.987	875.964	2356.765	736.451	3516.678	555.533
204	0.204	0.07457	1167.889	678.678	2273.939	1407.522	3605.887	501.240
205	0.205	0.07457	1604.220	394.147	2595.331	520.746	3619.538	460.982
206	0.206	0.02183	1032.606	1247.964	2212.131	710.425	3460.367	542.738
207	0.207	0.07088	1007.077	873.912	2408.219	1065.325	3585.058	579.039
208	0.208	0.07088	1344.369	799.273	2445.880	643.833	3485.377	449.822
209	0.209	0.01575	741.215	1113.440	2146.984	828.237	3484.853	482.069
210	0.210	0.06602	1003.146	1027.448	2433.298	854.342	3599.136	565.730
211	0.211	0.06602	1026.986	901.716	2364.757	722.143	3453.866	393.127
212	0.212	0.05469	509.531	1099.289	2090.786	1206.294	3514.609	340.386
213	0.213	0.05469	1114.208	1027.450	2475.829	798.091	3621.803	545.898
214	0.214	0.02019	916.095	849.218	2353.241	1168.455	3484.075	364.962
215	0.215	0.04948	394.699	675.137	2595.852	1139.311	3598.943	346.527
216	0.216	0.04948	1270.670	903.843	2680.227	833.831	3742.372	563.513
217	0.217	0.02041	951.962	806.084	2507.826	1913.345	3481.171	383.425
218	0.218	0.04509	343.428	923.959	2569.122	704.393	3587.433	434.544
219	0.219	0.04509	1375.196	672.198	2964.788	809.915	3872.638	637.384
220	0.220	0.01705	1099.086	1119.861	2628.561	1297.016	3551.821	605.292
221	0.221	0.05967	520.603	1193.032	2476.297	1073.121	3442.643	782.422
222	0.222	0.05967	1414.435	591.436	3219.312	474.335	4059.394	604.493
223	0.223	0.01317	1619.454	1516.192	2613.050	912.941	3641.779	637.017
224	0.224	0.05661	673.469	1302.504	2632.046	987.644	3318.539	1187.431
225	0.225	0.05661	1722.295	969.713	3148.887	785.743	3972.394	747.602
226	0.226	0.01267	1796.047	1271.833	2644.981	897.630	3690.535	674.343
227	0.227	0.05699	767.293	1201.019	2745.242	580.568	3324.940	1479.696
228	0.228	0.05699	1748.223	1197.333	2817.942	990.152	3811.320	676.815
229	0.229	0.01824	1314.648	1165.781	2551.178	784.199	3664.025	611.135
230	0.230	0.04788	986.077	1345.872	2726.896	618.845	3458.829	1864.445
231	0.231	0.04788	1522.930	936.372	2689.989	736.764	3739.967	556.539
232	0.232	0.01977	1007.396	1188.973	2450.954	875.639	3661.029	568.692
233	0.233	0.03626	1097.153	1557.312	2615.671	1038.302	3365.986	2341.521
234	0.234	0.03626	1381.986	659.513	2561.221	659.141	3653.002	490.240
235	0.235	0.00985	728.214	1473.280	2250.943	1115.520	3716.723	567.879
236	0.236	0.02862	949.344	1320.574	2346.627	990.659	3593.179	1018.134
237	0.237	0.02862	1229.694	664.957	2402.360	704.114	3553.053	440.823
238	0.238	0.03473	1950.093	1228.134	3816.341	549.899	--undefined--	--undefined--
239	0.239	0.03473	897.700	1235.201	2280.383	947.808	3610.710	776.919
240	0.240	0.01916	1011.792	841.140	2160.240	746.747	3508.090	346.586
241	0.241	0.04061	2046.091	1010.629	3866.252	616.103	--undefined--	--undefined--
242	0.242	0.04061	857.267	1264.274	2238.304	923.923	3654.479	630.833
243	0.243	0.01347	594.898	1815.587	1892.846	778.472	3606.568	287.880
244	0.244	0.03248	324.103	1451.201	2225.352	979.950	3687.678	708.413
245	0.245	0.03248	420.918	2003.463	2038.287	904.807	3772.643	423.477
246	0.246	0.01354	2192.752	678.813	3605.340	428.818	--undefined--	--undefined--
247	0.247	0.02231	600.580	1024.144	2267.463	729.710	3507.675	624.589
248	0.248	0.02231	2028.401	549.692	3787.499	392.557	--undefined--	--undefined--
249	0.249	0.01065	852.683	2514.332	2329.319	862.581	3640.709	656.386
250	0.250	0.02569	359.396	1554.097	2456.921	830.722	3388.482	1400.823
251	0.251	0.02569	994.999	1839.127	2303.899	946.145	3710.485	665.468
252	0.252	0.00961	1337.025	1080.716	2512.955	912.419	3704.445	748.773
253	0.253	0.01476	1824.737	2815.597	2660.830	499.579	--undefined--	--undefined--
254	0.254	0.01476	1350.846	1038.599	2549.665	1074.533	3673.803	979.187
255	0.255	0.00657	1369.997	758.353	2581.736	854.724	3788.418	685.497
256	0.256	0.00979	967.382	1080.548	2547.833	782.979	3690.500	1384.904
257	0.257	0.00979	1375.805	846.536	2475.297	854.311	3530.242	679.029
258	0.258	0.00458	1027.396	1422.865	2173.661	1293.167	3847.468	622.743
259	0.259	0.00423	1172.112	840.060	2567.648	970.351	3848.009	1080.158
260	0.260	0.00423	2173.278	635.370	3393.368	421.246	--undefined--	--undefined--
261	0.261	0.00120	463.256	1391.291	1864.713	827.373	3964.796	525.699
262	0.262	0.00120	1092.289	788.247	2305.777	904.222	3722.579	908.040
263	0.263	0.00108	1339.151	1761.998	3560.863	726.661	--undefined--	--undefined--
264	0.264	0.00118	651.161	843.113	3284.834	705.662	--undefined--	--undefined--
265	0.265	0.00118	815.947	926.550	2332.782	709.131	--undefined--	--undefined--
266	0.266	0.00061	448.379	624.848	1543.637	945.388	3513.303	377.649
267	0.267	0.00085	921.497	824.003	3562.166	551.658	--undefined--	--undefined--
268	0.268	0.00085	705.103	706.133	1259.260	3601.922	3229.680	518.351
269	0.269	0.00049	875.081	863.557	3092.188	906.080	--undefined--	--undefined--
270	0.270	0.00063	639.518	846.323	3406.185	491.081	--undefined--	--undefined--
271	0.271	0.00063	1025.164	620.142	3492.952	600.785	--undefined--	--undefined--
272	0.272	0.00039	712.562	623.742	2924.623	742.449	--undefined--	--undefined--
273	0.273	0.00048	875.093	897.592	2747.181	975.096	--undefined--	--undefined--
274	0.274	0.00048	845.992	1409.889	1208.101	1351.511	4821.040	2030.666
275	0.275	0.00041	821.724	893.183	2788.052	1258.057	--undefined--	--undefined--
276	0.276	0.00048	487.907	527.863	2058.035	2616.313	3094.601	622.545
277	0.277	0.00048	909.266	850.775	3050.393	1068.745	--undefined--	--undefined--
278	0.278	0.00046	442.161	793.904	1471.370	1217.399	3788.111	2247.782
279	0.279	0.00072	472.137	475.593	1736.486	2002.841	3258.438	520.671
280	0.280	0.00072	818.565	608.586	2888.112	599.185	--undefined--	--undefined--
281	0.281	0.00042	423.997	641.714	1352.881	804.280	--undefined--	--undefined--
282	0.282	0.00065	851.859	723.875	3108.275	3630.907	--undefined--	--undefined--
283	0.283	0.00065	897.342	496.948	2978.678	1295.611	--undefined--	--undefined--
284	0.284	0.00040	840.557	505.309	3927.445	1816.373	--undefined--	--undefined--
285	0.285	0.00060	803.436	974.940	2100.537	3414.611	--undefined--	--undefined--
286	0.286	0.00060	996.969	449.331	3177.224	1250.683	--undefined--	--undefined--
287	0.287	0.00035	926.794	679.306	4457.427	1351.333	--undefined--	--undefined--
288	0.288	0.00063	218.308	1051.094	941.129	681.012	5281.081	1257.650
289	0.289	0.00063	987.718	453.807	3818.059	2756.065	--undefined--	--undefined--
290	0.290	0.00038	860.491	716.054	2684.198	2054.219	--undefined--	--undefined--
291	0.291	0.00060	840.550	437.374	4606.837	1732.034	--undefined--	--undefined--
292	0.292	0.00060	914.951	613.890	1584.211	2557.697	4992.938	1413.670
293	0.293	0.00041	885.408	645.637	4210.303	1210.082	--undefined--	--undefined--
294	0.294	0.00059	815.325	886.907	3686.675	1553.145	--undefined--	--undefined--
295	0.295	0.00059	864.297	707.887	1731.324	2517.418	--undefined--	--undefined--
296	0.296	0.00034	367.516	592.033	1127.387	486.083	4418.468	856.856
297	0.297	0.00063	790.284	426.558	2158.330	1107.014	--undefined--	--undefined--
298	0.298	0.00063	870.422	1080.986	1234.549	2195.677	4861.079	2073.549
299	0.299	0.00041	916.460	492.538	4284.423	1901.168	--undefined--	--undefined--
300	0.300	0.00070	353.492	1155.315	915.168	1093.631	4267.778	2657.636
