Word_eng,PhoWord_eng,LengthO_eng,LengthP_eng,Freq_eng,PTHN_eng,PTHF_eng,PTHW_eng,sPTHN_eng,sPTHF_eng,sPTHW_eng,PTHN_spa
leg,l.E.g,3,3,56.5098,2,1265.1667,Let;less,0,,,0
ball,b.O.l,4,3,104.9608,5,1276.902,call;boss;fall;Bill;all,0,,,1
owl,aU.l,3,2,5.6078,10,1071.2333,all;out;our;hour;oil;ill;Earl;Ouch;foul;towel,3,7462.4279,el;al;�l,0
bear,b.Er,4,2,57.4118,15,1064.0301,be;there;Where;by;their;boy;care;buy;Bye;hair;wear;fair;bar;share;air,4,830.9555,voy;va;ve;vi,0
boat,b.oU.t,4,3,95.7843,5,1050.2706,but;both;bit;bet;beat,0,,,0
coin,k.OI.n,4,3,9.7451,6,897.4608,can;join;Ken;corn;con;Kane,1,7173.4856,con,1
bike,b.aI.k,4,3,25.8824,9,898.2789,like;back;book;Mike;bite;Buck;by;buy;Bye,0,,,0
ham,h.1.m,3,3,11.5882,18,854.219,have;him;had;has;home;damn;half;hang;Sam;Hmm;hat;whom;harm;jam;hatch;Pam;am;hammer,0,,,5
ear,ir.56,3,2,32,9,804.8388,our;here;hear;year;dear;near;beer;fear;ears,0,,,1
moon,m.u.n,4,3,49.9608,6,731.5425,man;mean;move;men;soon;mine,2,6834.5793,a�n;un,0
fork,f.or.k,4,3,8.8235,12,658.1242,fuck;York;force;form;fake;fourth;forth;Fort;Ford;pork;for;four,0,,,0
monkey,m.V.n.k.i,6,5,33.5098,1,640.7647,money,0,,,0
pen,p.E.n,3,3,24.7255,7,610.5238,when;then;men;ten;pain;Ben;Peg,6,2711.1298,ven;ten;pan;pon;den;en,1
sheep,S.i.p,5,3,13.4314,8,594.3529,keep;ship;deep;shop;cheap;shape;sharp;she,1,19.0144,chip,1
cap,k.1.p,3,3,18.7451,11,594.8182,can;keep;catch;cop;cash;cat;cup;cab;map;crap;camp,0,,,0
drum,d.r0.V.m,4,4,8.4706,4,566.1324,from;dream;drug;dumb,0,,,8
sun,s.V.n,3,3,69.6667,13,622.73,one;some;won;done;seen;run;such;soon;fun;gun;sign;none;scene,3,912.1795,son;sin;san,1
