group,trial_id,test_language,word,freq,pthn,consecutive_longest,same_onset,close_substitutions,similarity_ort,similarity_phon,correct,n,proportion
ENG-SPA,38,Spanish,frambuesa,3.27471191416797,0,1,Different,0,0.444444444444444,0.25,1,27,0.037037037037037
ENG-SPA,39,Spanish,gafas,4.52005885635792,0,1,Same,0,0.5,0.363636363636363,3,27,0.111111111111111
ENG-SPA,40,Spanish,galleta,,,1,Different,0,0.142857142857142,0.166666666666666,1,28,0.0357142857142857
ENG-SPA,41,Spanish,gallina,4.05585594550199,16,0,Different,0.222222222222222,0,0,0,27,0
ENG-SPA,42,Spanish,gato,4.82173160345156,9,1,Different,0.571428571428571,0.571428571428571,0.285714285714285,4,27,0.148148148148148
ENG-SPA,43,Spanish,globo,3.93785376361134,0,1,Different,0.2,0.5,0.2,1,27,0.037037037037037
ENG-SPA,44,Spanish,gorrion,,,1,Different,0.166666666666666,0.285714285714285,0.166666666666666,0,28,0
ENG-SPA,45,Spanish,gorro,4.80737602824507,14,0,Different,0,0,0,1,27,0.037037037037037
ENG-SPA,46,Spanish,grifo,4.16864772224563,8,0,Different,0,0,0,1,28,0.0357142857142857
ENG-SPA,47,Spanish,guitarra,4.19279596924916,0,3,Same,0,0.857142857142857,0.6,27,28,0.964285714285714
ENG-SPA,48,Spanish,gusano,4.00507750555024,8,0,Different,0,0.2,0,1,28,0.0357142857142857
ENG-SPA,49,Spanish,hormiga,3.72858913020319,9,0,Different,0,0.2,0,0,26,0
ENG-SPA,50,Spanish,jirafa,3.17324455906157,0,2,Different,0,0.615384615384615,0.545454545454545,5,26,0.192307692307692
ENG-SPA,51,Spanish,ladrillo,4.00759843693507,8,2,Different,0,0.307692307692307,0.363636363636363,0,27,0
ENG-SPA,52,Spanish,lapiz,3.99399582311387,0,1,Different,0,0.181818181818181,0.2,0,27,0
ENG-SPA,53,Spanish,leche,4.62868925577945,0,1,Different,0,0.222222222222222,0.25,9,28,0.321428571428571
ENG-SPA,54,Spanish,lengua,4.49355424040398,3,0,Different,0,0.5,0,18,28,0.642857142857143
ENG-SPA,55,Spanish,leon,4.18619042118397,1,1,Same,0,0.5,0.444444444444444,13,28,0.464285714285714
