participant,group,n,n_valid,n_correct,prop_correct,test_language,age,l2,l2oral,l2written,sex,impairment,valid_participant
5eb3c2e29eb7cb1a6d8054bc,ENG-SPA,103,63,16,0.253968253968254,Spanish,,None,,,Female,FALSE,FALSE
5eb450d3f625d5290ee37303,ENG-SPA,189,189,38,0.201058201058201,Catalan,22,None,,,Female,FALSE,TRUE
5eb450d3f625d5290ee37303,ENG-SPA,189,189,38,0.201058201058201,Catalan,,None,,,Female,FALSE,
5eb450d3f625d5290ee37303,ENG-SPA,189,189,38,0.201058201058201,Spanish,22,None,,,Female,FALSE,TRUE
5eb450d3f625d5290ee37303,ENG-SPA,189,189,38,0.201058201058201,Spanish,,None,,,Female,FALSE,
5eb54aacca57073d0b74f0ac,ENG-SPA,103,102,24,0.235294117647059,Spanish,23,None,,,Female,FALSE,TRUE
5eb54aacca57073d0b74f0ac,ENG-SPA,103,102,24,0.235294117647059,Spanish,,None,,,Female,FALSE,
5eb9b011e926960deb4d6d91,ENG-SPA,103,103,14,0.135922330097087,Spanish,23,None,,,Male,FALSE,TRUE
5eb9b011e926960deb4d6d91,ENG-SPA,103,103,14,0.135922330097087,Spanish,,None,,,Male,FALSE,
5eb9e9546dffac12320418e9,ENG-SPA,103,12,3,0.25,Spanish,20,None,,,Male,FALSE,FALSE
5eb9e9546dffac12320418e9,ENG-SPA,103,12,3,0.25,Spanish,,None,,,Male,FALSE,FALSE
5ebac91735226005282f48dd,ENG-SPA,86,80,10,0.125,Catalan,23,None,,,Male,FALSE,TRUE
5ebac91735226005282f48dd,ENG-SPA,86,80,10,0.125,Catalan,,None,,,Male,FALSE,
5ebd2a07fa52241862dbca05,ENG-SPA,86,85,15,0.176470588235294,Catalan,25,None,,,Male,FALSE,TRUE
5ebd2a07fa52241862dbca05,ENG-SPA,86,85,15,0.176470588235294,Catalan,,None,,,Male,FALSE,
5ebef0ede70ab7160edd7ba5,ENG-SPA,103,103,18,0.174757281553398,Spanish,21,None,,,Male,FALSE,TRUE
5ebef0ede70ab7160edd7ba5,ENG-SPA,103,103,18,0.174757281553398,Spanish,,None,,,Male,FALSE,
5ec27b1c7207c90574afa448,ENG-SPA,103,103,12,0.116504854368932,Spanish,24,None,2,2,Male,FALSE,TRUE
5ec27b1c7207c90574afa448,ENG-SPA,103,103,12,0.116504854368932,Spanish,,None,2,2,Male,FALSE,
5ec54a7637927134ac7d3dc3,ENG-SPA,86,41,10,0.24390243902439,Catalan,18,None,1,2,Male,FALSE,FALSE
5ec54a7637927134ac7d3dc3,ENG-SPA,86,41,10,0.24390243902439,Catalan,,None,1,2,Male,FALSE,FALSE
5ec56cd8269fcc53a3dfb6c4,ENG-SPA,86,86,12,0.13953488372093,Catalan,21,None,,,Female,FALSE,TRUE
5ec56cd8269fcc53a3dfb6c4,ENG-SPA,86,86,12,0.13953488372093,Catalan,,None,,,Female,FALSE,
5ec7e258f052ac26af7aafc5,ENG-SPA,103,102,16,0.156862745098039,Spanish,23,None,,,Female,FALSE,TRUE
5ec7e258f052ac26af7aafc5,ENG-SPA,103,102,16,0.156862745098039,Spanish,,None,,,Female,FALSE,
5ec83d67cfe53914464d2062,ENG-SPA,103,102,16,0.156862745098039,Spanish,23,None,,,Female,FALSE,TRUE
5ec83d67cfe53914464d2062,ENG-SPA,103,102,16,0.156862745098039,Spanish,,None,,,Female,FALSE,
5ec8f15fce3f413ef07d6cc5,ENG-SPA,86,85,19,0.223529411764706,Catalan,21,None,,,Male,FALSE,TRUE
5ec8f15fce3f413ef07d6cc5,ENG-SPA,86,85,19,0.223529411764706,Catalan,,None,,,Male,FALSE,
5eca8f766efc6002c151bb05,ENG-SPA,86,86,13,0.151162790697674,Catalan,23,None,,,Male,FALSE,TRUE
