trial_id,word,orthography,phonology,translation_english_orthography,translation_english_phonology,translation_catalan_orthography,translation_catalan_phonology,translation_spanish_orthography,translation_spanish_phonology,frequency_zipf,language,soundfile,practice,phoword_eng,lengtho_eng,lengthp_eng,freq_eng,pthn_eng,phoword_spa,lengtho_spa,lengthp_spa,freq_spa,pthn_spa,similarity_engspa,same_onset_engspa,consecutive_longest_engspa,close_substitutions_engspa,similarity_engcat,same_onset_engcat,consecutive_longest_engcat,close_substitutions_engcat,similarity_spacat,same_onset_spacat,consecutive_longest_spacat,close_substitutions_spacat
171,pollastre,pollastre,/puˈʎas.tɾə/,chicken,/ˈʧɪkɪn/,pollastre,/puˈʎas.tɾə/,pollo,/ˈpo.ʎo/,4.54185237,Catalan,Sounds/cat_pollastre.wav,FALSE,tS.I.k.I.n,7,5,61.7255,0,p.o.L.o,,,47.2837,0,0,different,0,0,0,different,0,0,0.333333333333333,same_consonant,1,0.166666666666666
172,poma,poma,/ˈpo.ma/,apple,/ˈæpl/,poma,/ˈpo.ma/,manzana,/manˈθa.na/,4.36983777,Catalan,Sounds/cat_poma.wav,FALSE,1.p.l,5,3,23.6667,0,m.a.n.T.a.n.a,,,18.9663,0,0.2,different,1,0,0.285714285714285,different,1,0,0.363636363636363,different,2,0
173,porc,porc,/ˈpɔrk/,pig/pork,/pɪg/pɔːk/,porc,/ˈpɔrk/,cerdo,/'θeɾ.ðo/,4.67792748,Catalan,Sounds/cat_porc.wav,FALSE,,,,,,T.E.4.d.o,,,40.024,0,,,,,0.857142857142857,same_consonant,2,0,0.222222222222222,different,1,0
174,porta,porta,/ˈpɔr.tə/,door,/dɔː/,porta,/ˈpɔr.tə/,puerta,/ˈpwer.ta/,5.68822015,Catalan,Sounds/cat_porta.wav,FALSE,d.or,4,2,292.0588,5,p.w.E.4.t.a,,,328.8702,0,0,different,0,0,0.285714285714285,different,1,0,0.545454545454545,same_consonant,2,0
175,raspall,raspall,/rəsˈpaʎ/,brush,/brʌʃ/,raspall,/rəsˈpaʎ/,cepillo,/θeˈpi.ʎo/,3.7481157,Catalan,Sounds/cat_raspall.wav,FALSE,b.r0.V.S,5,4,14.1569,2,T.e.p.i.L.o,,,9.4712,0,0,different,0,0,0.2,different,1,0.2,0.333333333333333,different,1,0
176,samarreta,samarreta,/sə.məˈrɛ.tə/,t-shirt,/ˈtiːʃɜːt/,samarreta,/sə.məˈrɛ.tə/,camiseta,/ka.mi'se.ta/,4.38551562,Catalan,Sounds/cat_samarreta.wav,FALSE,,,,,,k.a.m.i.s.e.t.a,,,20.649,5,0.307692307692307,different,1,0.153846153846153,0.153846153846153,different,1,0,0.25,different,1,0
177,sol,sol,/ˈsɔɫ/,sun,/sʌn/,sol,/ˈsɔɫ/,sol,/ˈsol/,5.61234526,Catalan,Sounds/cat_sol.wav,FALSE,s.V.n,3,3,69.6667,13,s.o.l,,,88.1971,0,0.333333333333333,same_consonant,1,0,0.333333333333333,same_consonant,1,0.333333333333333,0.666666666666666,same_consonant,1,0.333333333333333
178,taronja,taronja,/təˈɾɔɲ.ʒə/,orange,/ˈɒrɪnʤ/,taronja,/təˈɾɔɲ.ʒə/,naranja,/naˈɾaŋ.xa/,4.3961628,Catalan,Sounds/cat_taronja.wav,FALSE,O.r0.I0.n.dZ,6,5,22.3137,0,n.a.4.a.N.x.a,,,18.774,1,0.166666666666666,different,1,0,0.166666666666666,different,1,0.166666666666666,0.142857142857142,different,1,0
180,tisores,tisores,/tiˈzo.ɾəs/,scissors,/ˈsɪzəz/,tisores,/tiˈzo.ɾəs/,tijeras,/tiˈxe.ɾas/,3.93156806,Catalan,Sounds/cat_tisores.wav,FALSE,s.I.s.56.z,8,5,6.6863,1,t.i.x.E.4.a.s,,,6.899,0,0.166666666666666,different,1,0,0.5,different,2,0.166666666666666,0.571428571428571,same_consonant,2,0
181,tobogan,tobogan,/tu.βuˈɣan/,slide,/slaɪd/,tobogan,/tu.βuˈɣan/,tobogán,/to.βoˈɣan/,3.61341713,Catalan,Sounds/cat_tobogan.wav,FALSE,s.l.aI.d,5,4,17.8235,2,t.o.B.o.G.a.n,,,1.2981,2,0.166666666666666,different,1,0,0.166666666666666,different,1,0,0.714285714285714,same_consonant,3,0.285714285714285
