group,trial_id,test_language,word,freq,pthn,onset,stress_overlap,vowel_ratio,consonant_ratio,correct,n,proportion
ENG-CAT,131,Catalan,esponja,3.82672252016899,0,Different,Overlap,0.14,0.66,26,33,0.787878787878788
ENG-CAT,132,Catalan,estrella,4.91035755727288,3,Different,Overlap,0,0.4,0,33,0
ENG-CAT,133,Catalan,estruc,2.9731278535997,0,Different,Overlap,0.14,0.64,0,33,0
ENG-CAT,134,Catalan,flor,4.35717225772303,1,Same,Overlap,0.08,0.5,6,33,0.181818181818182
ENG-CAT,135,Catalan,formiga,3.72835378202123,9,Different,No overlap,0,0.13,0,31,0
ENG-CAT,136,Catalan,forquilla,3.94546858513182,12,Same,Overlap,0.13,0.4,8,33,0.242424242424242
ENG-CAT,137,Catalan,fulla,3.7160033436348,13,Different,Overlap,0,0.29,0,32,0
ENG-CAT,138,Catalan,galeta,,,Different,No overlap,0.11,0.39,0,33,0
ENG-CAT,139,Catalan,galleda,4.00086772153123,1,Different,No overlap,0.24,0.35,0,32,0
ENG-CAT,140,Catalan,gat,4.82170999729838,9,Different,Overlap,0.28,0.64,7,33,0.212121212121212
ENG-CAT,141,Catalan,gerd,4.22479195649268,4,Different,Overlap,0,0.43,0,33,0
ENG-CAT,142,Catalan,girafa,3.17318626841227,0,Different,Overlap,0.3,0.53,26,33,0.787878787878788
ENG-CAT,143,Catalan,globus,3.93801909747621,0,Different,No overlap,0.18,0.42,0,32,0
ENG-CAT,144,Catalan,gorra,4.27300127206374,11,Different,No overlap,0.1,0.4,0,33,0
ENG-CAT,145,Catalan,got,4.71307032585564,6,Different,No overlap,0.28,0.58,0,33,0
ENG-CAT,146,Catalan,guitarra,4.19284611518884,0,Same,Overlap,0.33,0.4,31,33,0.939393939393939
ENG-CAT,147,Catalan,jaqueta,4.52387647563813,0,Different,Overlap,0.24,0.53,18,31,0.580645161290323
ENG-CAT,148,Catalan,lleo,4.18610837981321,1,Different,No overlap,0.25,0.2,0,32,0
ENG-CAT,149,Catalan,llibre,5.24792419076631,3,Different,No overlap,0.13,0.17,4,32,0.125
ENG-CAT,150,Catalan,lloro,3.51454775266029,2,Different,No overlap,0.19,0.3,1,31,0.032258064516129
ENG-CAT,151,Catalan,lluna,4.6986224297021,6,Different,Overlap,0.29,0.34,20,31,0.645161290322581
ENG-CAT,152,Catalan,ma,5.44661482366427,2,Different,No overlap,0.28,0.07,0,32,0
ENG-CAT,153,Catalan,mico,4.52517442783527,1,Same,Overlap,0.22,0.22,1,33,0.0303030303030303
ENG-CAT,154,Catalan,mirall,4.38345629652475,0,Same,Overlap,0.33,0.44,14,33,0.424242424242424
ENG-CAT,155,Catalan,moneda,3.98900461569854,6,Different,No overlap,0.13,0.29,5,30,0.166666666666667
ENG-CAT,156,Catalan,moto,2.8750612633917,0,Same,Overlap,0.18,0.31,2,33,0.0606060606060606
ENG-CAT,157,Catalan,mussol,3.74896286125616,10,Different,No overlap,0.25,0.25,1,33,0.0303030303030303
ENG-CAT,158,Catalan,nas,4.84354421194564,6,Same,Overlap,0.14,0.29,3,33,0.0909090909090909
ENG-CAT,159,Catalan,onada,4.32735893438633,8,Different,No overlap,0.11,0.21,0,29,0
ENG-CAT,160,Catalan,orella,4.50514997831991,9,Different,No overlap,0.43,0,2,31,0.0645161290322581
ENG-CAT,161,Catalan,ovella,4.12807601266872,8,Different,No overlap,0,0,1,32,0.03125
ENG-CAT,162,Catalan,pa,4.45224657452044,5,Different,No overlap,0,0.31,1,33,0.0303030303030303
ENG-CAT,163,Catalan,papallona,3.74115159885179,0,Different,No overlap,0.17,0.22,3,33,0.0909090909090909
ENG-CAT,164,Catalan,patata,4.05269394192497,0,Same,Overlap,0.38,0.43,32,33,0.96969696969697
ENG-CAT,165,Catalan,pernil,4.0640834359636,18,Different,No overlap,0.15,0.18,0,32,0
ENG-CAT,166,Catalan,peu,4.81237851115419,5,Different,No overlap,0.06,0.44,0,33,0
