"trial_id","group","word1","word2","phon_trace","frequency","pthn","lv","consonant_ratio","vowel_ratio","onset","overlap_stress"
151,"ENG-CAT","mico","monkey","m^Nki",33.5098,1,0.4,0.222222222222222,0.222222222222222,"Same",1
152,"ENG-CAT","mirall","mirror","mIr@",NA,NA,0.2,0.444444444444444,0.333333333333333,"Same",1
153,"ENG-CAT","moneda","coin","kLIn",9.7451,6,0,0.293333333333333,0.133333333333333,"Different",0
154,"ENG-CAT","moto","motorbike","m@Ut@b^Ik",0.7451,0,0.222222222222222,0.307692307692307,0.179487179487179,"Same",1
155,"ENG-CAT","mussol","owl","aUl",5.6078,10,0,0.25,0.25,"Different",0
156,"ENG-CAT","nas","nose","n@Uz",69.7451,6,0.25,0.285714285714285,0.142857142857142,"Same",1
157,"ENG-CAT","orella","ear","I@",NA,NA,0.2,0,0.428571428571428,"Different",0
158,"ENG-CAT","ovella","sheep","Siip",13.4314,8,0,0,0,"Different",0
159,"ENG-CAT","pa","bread","brDd",28.3333,5,0,0.311111111111111,0,"Different",0
160,"ENG-CAT","papallona","butterfly","b^t@fl^I",5.5098,0,0.125,0.216666666666666,0.166666666666666,"Different",0
161,"ENG-CAT","patata","potato","p@tEIt@U",11.2941,0,0.625,0.428571428571428,0.380952380952381,"Same",1
162,"ENG-CAT","pernil","ham","ham",NA,NA,0,0.177777777777777,0.148148148148148,"Different",0
163,"ENG-CAT","peu","foot","fUt",64.9216,5,0,0.444444444444444,0.0555555555555555,"Different",0
164,"ENG-CAT","planta","plant","plAnt",NA,NA,0.5,0.727272727272727,0.121212121212121,"Same",1
165,"ENG-CAT","plat","plate","plEIt",25.6471,7,0.4,0.666666666666666,0.148148148148148,"Same",1
166,"ENG-CAT","ploma","feather","fDZ@",6.6275,6,0.2,0.177777777777777,0.222222222222222,"Different",0
167,"ENG-CAT","pollastre","chicken","tSIkIn",61.7255,0,0,0.307692307692307,0.153846153846153,"Different",0
168,"ENG-CAT","poma","apple","apl",23.6667,0,0,0.285714285714285,0,"Different",0
169,"ENG-CAT","porc","pig/pork","pIg / pLLk",NA,NA,0.75,0.571428571428571,0.285714285714285,"Same",1
170,"ENG-CAT","porta","door","dQr",292.0588,5,0.2,0.209523809523809,0.285714285714285,"Different",1
171,"ENG-CAT","raspall","brush","br^S",14.1569,2,0,0.386666666666666,0.133333333333333,"Different",0
172,"ENG-CAT","samarreta","t-shirt","tiiS@@t",NA,NA,0.125,0.153846153846153,0.102564102564102,"Different",0
173,"ENG-CAT","sol","sun","s^n",69.6667,13,0.333333333333333,0.533333333333333,0.277777777777777,"Same",1
