participant,group,trial_id,test_language,country,word,input_text,typing_offset,consonant_ratio,vowel_ratio,onset,pthn,freq,stress_overlap
11399,ENG-CAT,153,Catalan,UK,mico,me,4.016000032,0.222222222222222,0.222222222222222,same_consonant,1,33.51,1
11399,ENG-CAT,154,Catalan,UK,mirall,painting,5.514999866,0.444444444444444,0.333333333333333,same_consonant,0,24.18,1
11399,ENG-CAT,155,Catalan,UK,moneda,mother,1.916000128,0.293333333333333,0.133333333333333,different,6,9.75,0
11399,ENG-CAT,156,Catalan,UK,moto,aunt,5.73300004,0.307692307692307,0.179487179487179,same_consonant,0,0.75,1
11399,ENG-CAT,157,Catalan,UK,mussol,rubbish,3.798999786,0.25,0.25,different,10,5.61,0
11399,ENG-CAT,158,Catalan,UK,nas,nose,2.416000128,0.285714285714285,0.142857142857142,same_consonant,6,69.75,1
11399,ENG-CAT,159,Catalan,UK,onada,oh no,3.332000017,0.207407407407407,0.111111111111111,different,8,21.25,0
11399,ENG-CAT,160,Catalan,UK,orella,umbrella,4.018000126,0,0.428571428571428,different,9,32,0
11399,ENG-CAT,161,Catalan,UK,ovella,dark,7.467000008,0,0,different,8,13.43,0
11399,ENG-CAT,162,Catalan,UK,pa,oh dear,5.828999996,0.311111111111111,0,different,5,28.33,0
11399,ENG-CAT,163,Catalan,UK,papallona,father,4.46600008,0.216666666666666,0.166666666666666,different,0,5.51,0
11399,ENG-CAT,164,Catalan,UK,patata,potato,2.915999889,0.428571428571428,0.380952380952381,same_consonant,0,11.29,1
11399,ENG-CAT,165,Catalan,UK,pernil,parsnip,6.299999952,0.177777777777777,0.148148148148148,different,18,11.59,0
11399,ENG-CAT,166,Catalan,UK,peu,sky,2.90199995,0.444444444444444,0.0555555555555555,different,5,64.92,0
11399,ENG-CAT,167,Catalan,UK,pingui,penguin,3.315999985,0.615384615384615,0.256410256410256,same_consonant,0,2.88,1
11399,ENG-CAT,168,Catalan,UK,planta,plant,3.349999905,0.727272727272727,0.121212121212121,same_consonant,4,27.61,1
11399,ENG-CAT,169,Catalan,UK,plat,blood,3.117000103,0.666666666666666,0.148148148148148,same_consonant,7,25.65,1
11399,ENG-CAT,170,Catalan,UK,ploma,plumb,1.532999992,0.177777777777777,0.222222222222222,different,6,6.63,0
11399,ENG-CAT,171,Catalan,UK,pollastre,priest,3.003000021,0.307692307692307,0.153846153846153,different,0,61.73,0
11399,ENG-CAT,172,Catalan,UK,poma,pomegranate,6.782999992,0.285714285714285,0,different,0,23.67,0
11399,ENG-CAT,173,Catalan,UK,porc,park,1.448999882,0.571428571428571,0.285714285714285,same_consonant,,,1
11399,ENG-CAT,174,Catalan,UK,porta,tabl,4.884000063,0.209523809523809,0.285714285714285,different,5,292.06,1
11399,ENG-CAT,175,Catalan,UK,raspall,sleep,2.69900012,0.386666666666666,0.133333333333333,different,2,14.16,0
11399,ENG-CAT,176,Catalan,UK,samarreta,breadstick,9.0849998,0.153846153846153,0.102564102564102,different,,,0
11399,ENG-CAT,177,Catalan,UK,sol,salt,3.617000103,0.533333333333333,0.277777777777777,same_consonant,13,69.67,1
11399,ENG-CAT,178,Catalan,UK,taronja,tractor,3,0.455555555555555,0.0277777777777777,different,0,22.31,0
11399,ENG-CAT,179,Catalan,UK,tigre,tiger,1.251999855,0.4,0.4,same_consonant,0,18.53,1
11399,ENG-CAT,180,Catalan,UK,tisores,desert,2.532000065,0.466666666666666,0.333333333333333,different,1,6.69,0
11399,ENG-CAT,181,Catalan,UK,tobogan,book,1.96600008,0.144444444444444,0.166666666666666,different,2,17.82,0
11399,ENG-CAT,182,Catalan,UK,tomaquet,food,3.116999865,0.285714285714285,0.142857142857142,same_consonant,0,5.9,1
