participant,trial_id,word,phonology,language_l1,test_language,accuracy,typing_onset,sim,lev,frequency_zipf
5e6571b32013562f77434b40,54,lengua,/ˈleɲ.ɡwa/,English,Spanish,0.078125,0.998999834,-1.13438240599934,0.905094736800587,-0.560659822573125
5e6571b32013562f77434b40,55,leon,/leˈon/,English,Spanish,0.125,0.48300004,0.931847596978469,-1.19855596284767,-0.920331066150566
5e6571b32013562f77434b40,56,libro,/ˈli.βɾo/,English,Spanish,0.16,1.516000032,-1.29643966113486,0.637357375027173,0.0497126881945024
5e6571b32013562f77434b40,57,loro,/loˈɾo/,English,Spanish,0.0625,1.931999922,-0.567182013025044,1.47881765488647,-1.56332974769517
5e6571b32013562f77434b40,58,luna,/'lu.na/,English,Spanish,0,0.681999922,0.283618576436412,0.3313718187147,-0.339033403810892
5e6571b32013562f77434b40,59,mano,/'ma.no/,English,Spanish,0,1.86500001,0.283618576436412,-0.433592072066484,0.257152945770403
5e6571b32013562f77434b40,60,manzana,/maŋˈθa.na/,English,Spanish,0,1.197999954,-1.01862722375969,1.20561626532176,-0.887380384484639
5e6571b32013562f77434b40,61,mariposa,/ma.ɾiˈpo.sa/,English,Spanish,0.046875,1.697999954,-0.536796277687133,0.235751332367052,-1.34377162740112
5e6571b32013562f77434b40,62,martillo,/marˈti.ʎo/,English,Spanish,0,1.947999954,-0.702931272197001,0.549932930366466,-1.09041270417418
5e6571b32013562f77434b40,63,mesa,/'me.sa/,English,Spanish,0,1.181999922,-0.729239268160558,0.3313718187147,-0.115937071286162
5e6571b32013562f77434b40,64,moneda,/mo'ne.ða/,English,Spanish,0.111111111111111,1.115999937,-0.202553188970135,0.905094736800587,-0.909656593014235
5e6571b32013562f77434b40,65,mono,/'mo.no/,English,Spanish,0.0277777777777778,1.214999914,0.413264380544822,0.3313718187147,-0.642262528248498
5e6571b32013562f77434b40,66,moto,/'mo.to/,English,Spanish,0.0493827160493827,0.732000113,0.0550762935529924,-0.476090065998775,-0.931886784420583
5e6571b32013562f77434b40,68,naranja,/naˈɾaŋ.xa/,English,Spanish,0.0612244897959184,0.36500001,-0.931810837079953,1.20561626532176,-0.891858837381522
5e6571b32013562f77434b40,69,nariz,/naˈɾiθ/,English,Spanish,0.0612244897959184,2.11500001,-0.121524561402379,-0.280599293910247,-0.4284162960419
5e6571b32013562f77434b40,71,ombligo,/omˈbli.ɣo/,English,Spanish,0,1.1650002,0.222847105760593,0.235751332367052,-1.67799528024502
5e6571b32013562f77434b40,72,osito,/o'si.to/,English,Spanish,0.0330578512396694,1.631999969,-0.758178063720471,0.276731540801756,-1.44590194158002
5e6571b32013562f77434b40,73,oveja,/o.'βe.xa/,English,Spanish,0.04,1.582000017,-1.05335377843159,0.3313718187147,-1.36966167956278
5e6571b32013562f77434b40,74,pajaro,/'pa.xa.ɾo/,English,Spanish,0.0277777777777778,2.08100009,-0.972325150863831,1.03258871859745,-0.800250578548969
5e6571b32013562f77434b40,75,pan,/pan/,English,Spanish,0.04,0.565999985,-0.992582307755769,0.3313718187147,-0.47691755369048
5e6571b32013562f77434b40,76,panal,/paˈɲal/,English,Spanish,0.12,2.713999987,-0.243067502754014,1.47881765488647,-1.57913997291485
5e6571b32013562f77434b40,77,pantalon,/paŋ.taˈlon/,English,Spanish,0,1.315000057,-0.567182013025044,0.618233277757644,-1.28916177394209
5e6571b32013562f77434b40,78,pastel,/pas'tel/,English,Spanish,0.166666666666667,0.631999969,-0.567182013025044,0.650106773206858,-0.422180530057296
5e6571b32013562f77434b40,79,patata,/pa'ta.ta/,English,Spanish,0.111111111111111,0.450000048,0.85877713818969,-0.816074017457075,-1.73915535003084
5e6571b32013562f77434b40,80,pato,/'pa.to/,English,Spanish,0.0555555555555556,0.848999977,-0.871039366404134,1.47881765488647,-0.993290171518589
